Travel_Time_Code,County_Code,Mpo_Code
104-05381,36065,36197200
104+05381,36065,36197200
104-05382,36011,
104+05382,36011,
104-05383,36075,
104+05383,36075,
104-05384,36075,
104+05384,36075,
104-05385,36075,
104+05385,36075,
104-05386,36075,
104+05386,36075,
104-05387,36075,
104+05387,36075,
104-05388,36075,
104+05388,36075,
104-05389,36075,
104+05389,36075,
104+05390,36075,
104+05405,36065,36197200
104-05406,36065,36197200
104+05406,36065,36197200
104-05407,36065,36197200
104+05407,36065,36197200
104-05408,36065,36197200
104+05408,36065,36197200
104-05457,36065,36197200
104-05458,36065,36197200
104+05458,36065,36197200
104-05459,36065,36197200
104+05459,36065,36197200
104+05460,36065,36197200
104-05461,36065,36197200
104+05461,36065,36197200
104+05462,36065,36197200
104-05464,36023,
104+05464,36023,
104-05465,36023,
104+05465,36023,
104+05466,36023,
104-05474,36053,
104+05475,36053,
104-05476,36053,
104+05477,36053,
104-05506,36011,
104-05507,36011,
104+05507,36011,
104-05508,36011,
104+05508,36011,
104-05509,36011,
104+05509,36011,
104-05510,36011,
104+05510,36011,
104-05511,36011,
104+05511,36011,
104-05512,36011,
104+05512,36011,
104-05513,36011,
104+05513,36011,
104-05514,36011,
104+05514,36011,
104+05515,36011,
104-05521,36067,36196500
104+05521,36067,36196500
104+05522,36067,36196500
104-05527,36029,36197401
104-05528,36029,36197401
104+05528,36029,36197401
104-05529,36029,36197401
104+05529,36029,36197401
104-05530,36029,36197401
104+05530,36029,36197401
104-05531,36029,36197401
104+05531,36029,36197401
104-05532,36029,36197401
104+05532,36029,36197401
