tmc,lottr_am_peak,lottr_midday,lottr_pm_peak,lottr_weekend
120-11893,1.2,1.1746,1.16667,1.2459
120+11893,1.09177,1.10836,1.14465,1.1129
120-11894,1.28767,1.36905,1.40741,1.4557
120+11894,1.21311,1.26562,1.28571,1.2381
120-11895,1.77778,1.56522,1.65854,1.82857
120+11895,1.41975,1.49038,1.51515,1.74038
120-11896,1.03419,1.02564,1.02564,1.0339
120+11896,1.0303,1.04082,1.0303,1.0404
120+11904,1.32143,1.21429,1.18182,1.18182
120-11908,1.22388,1.23529,1.34848,1.34848
120-11909,1.2125,1.23256,1.20455,1.21687
120+11909,1.12121,1.12121,1.13846,1.13846
120-11910,1.35,1.35,1.4,1.26316
120+11910,1.34444,1.3871,1.46316,1.43038
120-11911,1.45833,1.53333,1.64474,1.57971
120+11911,1.3125,1.41176,1.5,1.46154
120-11912,1.27835,1.37719,1.37615,1.4433
120+11912,1.51351,1.45238,1.46429,1.64865
120-11913,1.13846,1.17647,1.12121,1.16923
120+11913,1.22807,1.30508,1.28571,1.24528
120-11914,1.10526,1.07368,1.06186,1.09677
120+11914,1.15152,1.18182,1.19355,1.15625
120+11915,1.14433,1.09375,1.07527,1.1087
120-11929,1.07477,1.07373,1.07407,1.06977
120+11929,1.17323,1.16794,1.16794,1.18254
120-11930,1.075,1.06612,1.06612,1.075
120+11930,1.07339,1.0724,1.07273,1.07306
120-11931,1.12162,1.10067,1.10738,1.11565
120+11931,1.07438,1.06612,1.06557,1.075
120-11932,1.07018,1.07018,1.07018,1.07895
120+11932,1.09346,1.09259,1.10185,1.10377
120-11933,1.06811,1.06542,1.07812,1.07121
120+11933,1.05357,1.0625,1.08036,1.08036
120-11934,1.0625,1.07207,1.06364,1.07207
120+11934,1.06149,1.0639,1.07668,1.06962
120-11935,1.10989,1.10383,1.1087,1.10227
120+11935,1.06306,1.0625,1.0531,1.0531
120-11936,1.32203,1.30159,1.61538,1.21818
120+11936,1.12637,1.1413,1.13661,1.14607
120-11937,1.18301,1.17089,1.17532,1.17241
120+11937,1.19298,1.2069,1.21429,1.2037
120-11938,1.29834,1.32474,1.34574,1.38251
120+11938,1.20122,1.22543,1.20859,1.21569
120-11939,1.45161,1.39759,1.46835,1.52632
120+11939,1.31928,1.37,1.41237,1.45745
120-11940,1.19828,1.18182,1.23276,1.23423
120+11940,1.31206,1.36709,1.41401,1.63265
120-11941,1.28788,1.29333,1.3662,1.29412
120+11941,1.22314,1.2,1.24,1.23276
120-11942,1.15528,1.16568,1.1976,1.20122
120+11942,1.20968,1.23881,1.25,1.28571
120-11943,1.09028,1.07744,1.08446,1.09375
120+11943,1.10692,1.11801,1.15625,1.15287
120-11944,1.09174,1.09821,1.08182,1.09091
120+11944,1.10508,1.07718,1.07483,1.08247
120-11945,1.28571,1.21978,1.25581,1.22989
120+11945,1.09091,1.08108,1.08333,1.07273
120-11946,1.62,1.62712,1.62903,1.57143
120+11946,1.30769,1.23333,1.21429,1.23864
120-11947,1.09804,1.10759,1.0915,1.08667
120+11947,1.16923,1.17391,1.21538,1.2
120-11998,1.1871,1.2716,1.13793,1.12752
120-11999,1.09677,1.14286,1.11111,1.13846
120+11999,1.09459,1.07285,1.09934,1.10738
120-12000,1.06452,1.056,1.056,1.07377
120+12000,1.08602,1.07368,1.06316,1.08421
120-12001,1.06504,1.06504,1.05691,1.06557
120+12001,1.09167,1.06557,1.05833,1.08333
120-12002,1.06107,1.07634,1.0687,1.08397
120+12002,1.05833,1.04959,1.05833,1.05833
120-12003,1.17021,1.20213,1.16129,1.20455
120+12003,1.15888,1.18269,1.21154,1.22115
120-12004,1.26087,1.2551,1.30392,1.31111
120+12004,1.16495,1.20213,1.20619,1.23595
120-12005,1.19118,1.1844,1.19286,1.22388
120+12005,1.20968,1.25758,1.31343,1.2623
120-12006,1.18824,1.17241,1.1954,1.1875
120+12006,1.18248,1.17143,1.24286,1.23256
120-12007,1.30263,1.30263,1.71515,1.35484
120+12007,1.36607,1.33333,1.37838,1.44681
120-12008,1.36111,1.33636,1.45249,1.44624
120+12008,1.40411,1.39007,1.41353,1.53782
120-12009,1.39041,1.31884,1.375,1.32174
120+12009,1.30583,1.33929,1.51362,1.40206
120-12010,1.30159,1.31343,1.38376,1.36364
120+12010,1.29508,1.29921,1.38346,1.32432
120-12011,1.18785,1.19271,1.29949,1.29762
120+12011,1.29167,1.24762,1.41026,1.34783
120-12012,1.1,1.1,1.11966,1.11966
120+12012,1.12613,1.14286,1.12281,1.12613
120-12013,1.15698,1.21023,1.21714,1.18994
120+12013,1.13253,1.15663,1.1625,1.15
120-12014,1.06186,1.08081,1.08081,1.06186
120+12014,1.2,1.18627,1.15152,1.14
120-12015,1.10145,1.10563,1.09859,1.11268
120+12015,1.10556,1.12088,1.12707,1.12432
120-12016,1.05949,1.0678,1.05634,1.06461
120+12016,1.13352,1.12968,1.13467,1.12034
120-12017,1.11875,1.10494,1.1,1.13665
120+12017,1.15302,1.16151,1.14737,1.16028
120-12018,1.12587,1.13781,1.14591,1.14336
120+12018,1.11409,1.08108,1.08904,1.08844
120-12019,1.12,1.10577,1.10145,1.10577
120+12019,1.09122,1.08108,1.10811,1.09797
