bin,120P04340, ,120N05397, ,120+14882, ,120-07060, ,tstamp
252,720.074,0.019,993.716,0.019,137.794,0.020,899.958,0.020,Tue 03:00 PM
253,730.696,0.020,1000.549,0.019,140.631,0.020,918.489,0.020,Tue 03:15 PM
254,738.523,0.020,1003.908,0.019,143.215,0.021,935.363,0.021,Tue 03:30 PM
255,742.036,0.020,1002.414,0.019,144.735,0.021,945.291,0.021,Tue 03:45 PM
256,739.938,0.020,994.925,0.019,144.470,0.021,943.562,0.021,Tue 04:00 PM
257,732.678,0.020,981.961,0.019,142.515,0.021,930.792,0.021,Tue 04:15 PM
258,720.590,0.020,963.674,0.018,139.226,0.020,909.309,0.020,Tue 04:30 PM
259,703.534,0.019,939.741,0.018,134.832,0.019,880.613,0.019,Tue 04:45 PM
260,681.033,0.018,909.239,0.017,129.412,0.019,845.212,0.019,Tue 05:00 PM
261,651.459,0.018,869.492,0.017,122.364,0.018,799.180,0.018,Tue 05:15 PM
262,616.877,0.017,823.979,0.016,114.288,0.016,746.434,0.016,Tue 05:30 PM
263,580.757,0.016,778.537,0.015,106.326,0.015,694.435,0.015,Tue 05:45 PM
264,545.729,0.015,738.205,0.014,99.459,0.014,649.583,0.014,Tue 06:00 PM
265,509.256,0.014,701.515,0.013,93.388,0.013,609.936,0.013,Tue 06:15 PM
266,472.410,0.013,666.850,0.013,87.813,0.013,573.521,0.013,Tue 06:30 PM
267,438.674,0.012,634.176,0.012,82.750,0.012,540.454,0.012,Tue 06:45 PM
268,411.213,0.011,603.532,0.012,78.249,0.011,511.057,0.011,Tue 07:00 PM
269,389.934,0.011,575.321,0.011,74.467,0.011,486.356,0.011,Tue 07:15 PM
270,372.920,0.010,549.080,0.011,71.204,0.010,465.044,0.010,Tue 07:30 PM
271,358.513,0.010,523.977,0.010,68.116,0.010,444.880,0.010,Tue 07:45 PM
272,345.545,0.009,499.443,0.010,64.931,0.009,424.077,0.009,Tue 08:00 PM
273,335.702,0.009,476.457,0.009,61.815,0.009,403.723,0.009,Tue 08:15 PM
274,327.895,0.009,454.319,0.009,58.760,0.008,383.773,0.008,Tue 08:30 PM
275,319.487,0.009,431.458,0.008,55.601,0.008,363.142,0.008,Tue 08:45 PM
276,308.222,0.008,406.437,0.008,52.175,0.008,340.764,0.008,Tue 09:00 PM
277,294.784,0.008,379.162,0.007,48.445,0.007,316.405,0.007,Tue 09:15 PM
278,279.865,0.008,350.651,0.007,44.554,0.006,290.989,0.006,Tue 09:30 PM
